ID_licenciamentos_marcas;licenciamentos;subcategoria_veiculo;marca;mes;ano
1;407;1;1;jan;2024
2;421;1;1;fev;2024
3;565;1;1;mar;2024
4;478;1;1;abr;2024
5;407;1;1;mai;2024
6;0;1;1;jun;2024
7;0;1;1;jul;2024
8;0;1;1;ago;2024
9;0;1;1;set;2024
10;0;1;1;out;2024
11;0;1;1;nov;2024
12;0;1;1;dez;2024
13;869;1;2;jan;2024
14;1063;1;2;fev;2024
15;1266;1;2;mar;2024
16;1384;1;2;abr;2024
17;1477;1;2;mai;2024
18;0;1;2;jun;2024
19;0;1;2;jul;2024
20;0;1;2;ago;2024
21;0;1;2;set;2024
22;0;1;2;out;2024
23;0;1;2;nov;2024
24;0;1;2;dez;2024
25;121;1;3;jan;2024
26;156;1;3;fev;2024
27;245;1;3;mar;2024
28;145;1;3;abr;2024
29;104;1;3;mai;2024
30;0;1;3;jun;2024
31;0;1;3;jul;2024
32;0;1;3;ago;2024
33;0;1;3;set;2024
34;0;1;3;out;2024
35;0;1;3;nov;2024
36;0;1;3;dez;2024
37;3470;1;4;jan;2024
38;3329;1;4;fev;2024
39;4829;1;4;mar;2024
40;6458;1;4;abr;2024
41;4918;1;4;mai;2024
42;0;1;4;jun;2024
43;0;1;4;jul;2024
44;0;1;4;ago;2024
45;0;1;4;set;2024
46;0;1;4;out;2024
47;0;1;4;nov;2024
48;0;1;4;dez;2024
49;41;1;5;jan;2024
50;6;1;5;fev;2024
51;15;1;5;mar;2024
52;17;1;5;abr;2024
53;0;1;5;mai;2024
54;0;1;5;jun;2024
55;0;1;5;jul;2024
56;0;1;5;ago;2024
57;0;1;5;set;2024
58;0;1;5;out;2024
59;0;1;5;nov;2024
60;0;1;5;dez;2024
61;1;1;6;jan;2024
62;7;1;6;fev;2024
63;2;1;6;mar;2024
64;1;1;6;abr;2024
65;2;1;6;mai;2024
66;0;1;6;jun;2024
67;0;1;6;jul;2024
68;0;1;6;ago;2024
69;0;1;6;set;2024
70;0;1;6;out;2024
71;0;1;6;nov;2024
72;0;1;6;dez;2024
73;6;1;7;jan;2024
74;8;1;7;fev;2024
75;14;1;7;mar;2024
76;15;1;7;abr;2024
77;9;1;7;mai;2024
78;0;1;7;jun;2024
79;0;1;7;jul;2024
80;0;1;7;ago;2024
81;0;1;7;set;2024
82;0;1;7;out;2024
83;0;1;7;nov;2024
84;0;1;7;dez;2024
85;17475;1;8;jan;2024
86;20698;1;8;fev;2024
87;20254;1;8;mar;2024
88;24854;1;8;abr;2024
89;21872;1;8;mai;2024
90;0;1;8;jun;2024
91;0;1;8;jul;2024
92;0;1;8;ago;2024
93;0;1;8;set;2024
94;0;1;8;out;2024
95;0;1;8;nov;2024
96;0;1;8;dez;2024
97;7763;1;9;jan;2024
98;8675;1;9;fev;2024
99;8904;1;9;mar;2024
100;9407;1;9;abr;2024
101;8643;1;9;mai;2024
102;0;1;9;jun;2024
103;0;1;9;jul;2024
104;0;1;9;ago;2024
105;0;1;9;set;2024
106;0;1;9;out;2024
107;0;1;9;nov;2024
108;0;1;9;out;2024
109;0;1;9;nov;2024
110;0;1;9;dez;2024
111;713;1;10;jan;2024
112;783;1;10;fev;2024
113;387;1;10;mar;2024
114;639;1;10;abr;2024
115;623;1;10;mai;2024
116;0;1;10;jun;2024
117;0;1;10;jul;2024
118;0;1;10;ago;2024
119;0;1;10;set;2024
120;0;1;10;out;2024
121;0;1;10;nov;2024
122;0;1;10;dez;2024
123;15070;1;11;jan;2024
124;12542;1;11;fev;2024
125;17488;1;11;mar;2024
126;24764;1;11;abr;2024
127;21121;1;11;mai;2024
128;0;1;11;jun;2024
129;0;1;11;jul;2024
130;0;1;11;ago;2024
131;0;1;11;set;2024
132;0;1;11;out;2024
133;0;1;11;nov;2024
134;0;1;11;dez;2024
135;5155;1;12;jan;2024
136;5443;1;12;fev;2024
137;6415;1;12;mar;2024
138;7166;1;12;abr;2024
139;6448;1;12;mai;2024
140;0;1;12;jun;2024
141;0;1;12;jul;2024
142;0;1;12;ago;2024
143;0;1;12;set;2024
144;0;1;12;out;2024
145;0;1;12;nov;2024
146;0;1;12;dez;2024
147;646;1;13;jan;2024
148;697;1;13;fev;2024
149;862;1;13;mar;2024
150;923;1;13;abr;2024
151;899;1;13;mai;2024
152;0;1;13;jun;2024
153;0;1;13;jul;2024
154;0;1;13;ago;2024
155;0;1;13;set;2024
156;0;1;13;out;2024
157;0;1;13;nov;2024
158;0;1;13;dez;2024
159;29;1;14;jan;2024
160;31;1;14;fev;2024
161;76;1;14;mar;2024
162;59;1;14;abr;2024
163;63;1;14;mai;2024
164;0;1;14;jun;2024
165;0;1;14;jul;2024
166;0;1;14;ago;2024
167;0;1;14;set;2024
168;0;1;14;out;2024
169;0;1;14;nov;2024
170;0;1;14;dez;2024
171;14078;1;15;jan;2024
172;11877;1;15;fev;2024
173;10826;1;15;mar;2024
174;15594;1;15;abr;2024
175;15560;1;15;mai;2024
176;0;1;15;jun;2024
177;0;1;15;jul;2024
178;0;1;15;ago;2024
179;0;1;15;set;2024
180;0;1;15;out;2024
181;0;1;15;nov;2024
182;0;1;15;dez;2024
183;28;1;16;jan;2024
184;9;1;16;fev;2024
185;22;1;16;mar;2024
186;36;1;16;abr;2024
187;14;1;16;mai;2024
188;0;1;16;jun;2024
189;0;1;16;jul;2024
190;0;1;16;ago;2024
191;0;1;16;set;2024
192;0;1;16;out;2024
193;0;1;16;nov;2024
194;0;1;16;dez;2024
195;373;1;17;jan;2024
196;355;1;17;fev;2024
197;354;1;17;mar;2024
198;373;1;17;abr;2024
199;348;1;17;mai;2024
200;0;1;17;jun;2024
201;0;1;17;jul;2024
202;0;1;17;ago;2024
203;0;1;17;set;2024
204;0;1;17;out;2024
205;0;1;17;nov;2024
206;0;1;17;dez;2024
207;409;1;18;jan;2024
208;356;1;18;fev;2024
209;503;1;18;mar;2024
210;532;1;18;abr;2024
211;537;1;18;mai;2024
212;0;1;18;jun;2024
213;0;1;18;jul;2024
214;0;1;18;ago;2024
215;0;1;18;set;2024
216;0;1;18;out;2024
217;0;1;18;nov;2024
218;0;1;18;dez;2024
219;5321;1;19;jan;2024
220;5153;1;19;fev;2024
221;6720;1;19;mar;2024
222;5954;1;19;abr;2024
223;7109;1;19;mai;2024
224;0;1;19;jun;2024
225;0;1;19;jul;2024
226;0;1;19;ago;2024
227;0;1;19;set;2024
228;0;1;19;out;2024
229;0;1;19;nov;2024
230;0;1;19;dez;2024
231;2227;1;20;jan;2024
232;1699;1;20;fev;2024
233;1342;1;20;mar;2024
234;1729;1;20;abr;2024
235;1632;1;20;mai;2024
236;0;1;20;jun;2024
237;0;1;20;jul;2024
238;0;1;20;ago;2024
239;0;1;20;set;2024
240;0;1;20;out;2024
241;0;1;20;nov;2024
242;0;1;20;dez;2024
243;2091;1;21;jan;2024
244;1873;1;21;fev;2024
245;2463;1;21;mar;2024
246;2778;1;21;abr;2024
247;2489;1;21;mai;2024
248;0;1;21;jun;2024
249;0;1;21;jul;2024
250;0;1;21;ago;2024
251;0;1;21;set;2024
252;0;1;21;out;2024
253;0;1;21;nov;2024
254;0;1;21;dez;2024
255;5409;1;22;jan;2024
256;8239;1;22;fev;2024
257;7355;1;22;mar;2024
258;9882;1;22;abr;2024
259;5557;1;22;mai;2024
260;0;1;22;jun;2024
261;0;1;22;jul;2024
262;0;1;22;ago;2024
263;0;1;22;set;2024
264;0;1;22;out;2024
265;0;1;22;nov;2024
266;0;1;22;dez;2024
267;10444;1;23;jan;2024
268;9959;1;23;fev;2024
269;11357;1;23;mar;2024
270;12548;1;23;abr;2024
271;11602;1;23;mai;2024
272;0;1;23;jun;2024
273;0;1;23;jul;2024
274;0;1;23;ago;2024
275;0;1;23;set;2024
276;0;1;23;out;2024
277;0;1;23;nov;2024
278;0;1;23;dez;2024
279;75;1;24;jan;2024
280;77;1;24;fev;2024
281;79;1;24;mar;2024
282;91;1;24;abr;2024
283;75;1;24;mai;2024
284;0;1;24;jun;2024
285;0;1;24;jul;2024
286;0;1;24;ago;2024
287;0;1;24;set;2024
288;0;1;24;out;2024
289;0;1;24;nov;2024
290;0;1;24;dez;2024
291;18154;1;25;jan;2024
292;19535;1;25;fev;2024
293;25908;1;25;mar;2024
294;27821;1;25;abr;2024
295;23393;1;25;mai;2024
296;0;1;25;jun;2024
297;0;1;25;jul;2024
298;0;1;25;ago;2024
299;0;1;25;set;2024
300;0;1;25;out;2024
301;0;1;25;nov;2024
302;0;1;25;dez;2024
303;8038;1;26;jan;2024
304;7342;1;26;fev;2024
305;9590;1;26;mar;2024
306;10730;1;26;abr;2024
307;9147;1;26;mai;2024
308;0;1;26;jun;2024
309;0;1;26;jul;2024
310;0;1;26;ago;2024
311;0;1;26;set;2024
312;0;1;26;out;2024
313;0;1;26;nov;2024
314;0;1;26;dez;2024
315;49;2;15;jan;2024
316;80;2;15;fev;2024
317;96;2;15;mar;2024
318;73;2;15;abr;2024
319;58;2;15;mai;2024
320;0;2;15;jun;2024
321;0;2;15;jul;2024
322;0;2;15;ago;2024
323;0;2;15;set;2024
324;0;2;15;out;2024
325;0;2;15;nov;2024
326;0;2;15;dez;2024
327;2027;2;7;jan;2024
328;2350;2;7;fev;2024
329;2333;2;7;mar;2024
330;1923;2;7;abr;2024
331;2018;2;7;mai;2024
332;0;2;7;jun;2024
333;0;2;7;jul;2024
334;0;2;7;ago;2024
335;0;2;7;set;2024
336;0;2;7;out;2024
337;0;2;7;nov;2024
338;0;2;7;dez;2024
339;13374;2;8;jan;2024
340;13627;2;8;fev;2024
341;16081;2;8;mar;2024
342;17241;2;8;abr;2024
343;16817;2;8;mai;2024
344;0;2;8;jun;2024
345;0;2;8;jul;2024
346;0;2;8;ago;2024
347;0;2;8;set;2024
348;0;2;8;out;2024
349;0;2;8;nov;2024
350;0;2;8;dez;2024
351;121;2;9;jan;2024
352;85;2;9;fev;2024
353;106;2;9;mar;2024
354;14;2;9;abr;2024
355;1;2;9;mai;2024
356;0;2;9;jun;2024
357;0;2;9;jul;2024
358;0;2;9;ago;2024
359;0;2;9;set;2024
360;0;2;9;out;2024
361;0;2;9;nov;2024
362;0;2;9;dez;2024
363;2096;2;10;jan;2024
364;2290;2;10;fev;2024
365;1941;2;10;mar;2024
366;2978;2;10;abr;2024
367;2973;2;10;mai;2024
368;0;2;10;jun;2024
369;0;2;10;jul;2024
370;0;2;10;ago;2024
371;0;2;10;set;2024
372;0;2;10;out;2024
373;0;2;10;nov;2024
374;0;2;10;dez;2024
375;3852;2;11;jan;2024
376;4006;2;11;fev;2024
377;3977;2;11;mar;2024
378;5096;2;11;abr;2024
379;4690;2;11;mai;2024
380;0;2;11;jun;2024
381;0;2;11;jul;2024
382;0;2;11;ago;2024
383;0;2;11;set;2024
384;0;2;11;out;2024
385;0;2;11;nov;2024
386;0;2;11;dez;2024
387;755;2;13;jan;2024
388;889;2;13;fev;2024
389;886;2;13;mar;2024
390;1257;2;13;abr;2024
391;938;2;13;mai;2024
392;0;2;13;jun;2024
393;0;2;13;jul;2024
394;0;2;13;ago;2024
395;0;2;13;set;2024
396;0;2;13;out;2024
397;0;2;13;nov;2024
398;0;2;13;dez;2024
399;200;2;27;jan;2024
400;171;2;27;fev;2024
401;223;2;27;mar;2024
402;382;2;27;abr;2024
403;292;2;27;mai;2024
404;0;2;27;jun;2024
405;0;2;27;jul;2024
406;0;2;27;ago;2024
407;0;2;27;set;2024
408;0;2;27;out;2024
409;0;2;27;nov;2024
410;0;2;27;dez;2024
411;0;2;17;jan;2024
412;1;2;17;fev;2024
413;0;2;17;mar;2024
414;0;2;17;abr;2024
415;2;2;17;mai;2024
416;0;2;17;jun;2024
417;0;2;17;jul;2024
418;0;2;17;ago;2024
419;0;2;17;set;2024
420;0;2;17;out;2024
421;0;2;17;nov;2024
422;0;2;17;dez;2024
423;183;2;28;jan;2024
424;155;2;28;fev;2024
425;160;2;28;mar;2024
426;144;2;28;abr;2024
427;123;2;28;mai;2024
428;0;2;28;jun;2024
429;0;2;28;jul;2024
430;0;2;28;ago;2024
431;0;2;28;set;2024
432;0;2;28;out;2024
433;0;2;28;nov;2024
434;0;2;28;dez;2024
435;502;2;18;jan;2024
436;560;2;18;fev;2024
437;567;2;18;mar;2024
438;583;2;18;abr;2024
439;584;2;18;mai;2024
440;0;2;18;jun;2024
441;0;2;18;jul;2024
442;0;2;18;ago;2024
443;0;2;18;set;2024
444;0;2;18;out;2024
445;0;2;18;nov;2024
446;0;2;18;dez;2024
447;742;2;19;jan;2024
448;714;2;19;fev;2024
449;914;2;19;mar;2024
450;1119;2;19;abr;2024
451;1054;2;19;mai;2024
452;0;2;19;jun;2024
453;0;2;19;jul;2024
454;0;2;19;ago;2024
455;0;2;19;set;2024
456;0;2;19;out;2024
457;0;2;19;nov;2024
458;0;2;19;dez;2024
459;198;2;20;jan;2024
460;178;2;20;fev;2024
461;137;2;20;mar;2024
462;143;2;20;abr;2024
463;116;2;20;mai;2024
464;0;2;20;jun;2024
465;0;2;20;jul;2024
466;0;2;20;ago;2024
467;0;2;20;set;2024
468;0;2;20;out;2024
469;0;2;20;nov;2024
470;0;2;20;dez;2024
471;95;2;21;jan;2024
472;119;2;21;fev;2024
473;163;2;21;mar;2024
474;113;2;21;abr;2024
475;83;2;21;mai;2024
476;0;2;21;jun;2024
477;0;2;21;jul;2024
478;0;2;21;ago;2024
479;0;2;21;set;2024
480;0;2;21;out;2024
481;0;2;21;nov;2024
482;0;2;21;dez;2024
483;1880;2;22;jan;2024
484;1807;2;22;fev;2024
485;2020;2;22;mar;2024
486;1978;2;22;abr;2024
487;1738;2;22;mai;2024
488;0;2;22;jun;2024
489;0;2;22;jul;2024
490;0;2;22;ago;2024
491;0;2;22;set;2024
492;0;2;22;out;2024
493;0;2;22;nov;2024
494;0;2;22;dez;2024
495;3280;2;23;jan;2024
496;3437;2;23;fev;2024
497;3499;2;23;mar;2024
498;4793;2;23;abr;2024
499;3394;2;23;mai;2024
500;0;2;23;jun;2024
501;0;2;23;jul;2024
502;0;2;23;ago;2024
503;0;2;23;set;2024
504;0;2;23;out;2024
505;0;2;23;nov;2024
506;0;2;23;dez;2024
507;3991;2;25;jan;2024
508;4373;2;25;fev;2024
509;4872;2;25;mar;2024
510;5621;2;25;abr;2024
511;4143;2;25;mai;2024
512;0;2;25;jun;2024
513;0;2;25;jul;2024
514;0;2;25;ago;2024
515;0;2;25;set;2024
516;0;2;25;out;2024
517;0;2;25;nov;2024
518;0;2;25;dez;2024
519;379;2;26;jan;2024
520;332;2;26;fev;2024
521;337;2;26;mar;2024
522;505;2;26;abr;2024
523;350;2;26;mai;2024
524;0;2;26;jun;2024
525;0;2;26;jul;2024
526;0;2;26;ago;2024
527;0;2;26;set;2024
528;0;2;26;out;2024
529;0;2;26;nov;2024
530;0;2;26;dez;2024
531;0;3;29;jan;2024
532;0;3;29;fev;2024
533;0;3;29;mar;2024
534;0;3;29;abr;2024
535;0;3;29;mai;2024
536;0;3;29;jun;2024
537;0;3;29;jul;2024
538;0;3;29;ago;2024
539;0;3;29;set;2024
540;0;3;29;out;2024
541;0;3;29;nov;2024
542;0;3;29;dez;2024
543;253;3;8;jan;2024
544;224;3;8;fev;2024
545;251;3;8;mar;2024
546;274;3;8;abr;2024
547;262;3;8;mai;2024
